0,"Lady Gaga; Bruno Mars","Die With A Smile",252,"Pop"
1,"ROSÉ; Bruno Mars","APT.",170,"K-Pop"
2,"Billie Eilish","BIRDS OF A FEATHER",210,"Pop"
3,"Mariah Carey","All I Want for Christmas Is You",241,"Pop"
4,"Wham!","Last Christmas",263,"Pop"
5,"Gracie Abrams","That’s So True",166,"Pop"
6,"Kendrick Lamar; SZA","luther (with sza)",178,"Pop"
7,"Brenda Lee","Rockin' Around The Christmas Tree",126,"Pop"
8,"Jimin","Who",171,"K-Pop"
9,"Bobby Helms","Jingle Bell Rock",131,"Pop"
10,"Gigi Perez","Sailor Song",212,"Pop"
11,"Sabrina Carpenter","Espresso",175,"Pop"
12,"Arcane; Stromae; Pomme","Ma Meilleure Ennemie (from the series Arcane League of Legends)",148,"Pop"
13,"Ariana Grande","Santa Tell Me",204,"Pop"
14,"Billie Eilish","WILDFLOWER",261,"Pop"
15,"The Weeknd; Playboi Carti","Timeless (with Playboi Carti)",256,"Pop"
16,"Kendrick Lamar; Lefty Gunplay","tv off (feat. lefty gunplay)",221,"Pop"
17,"Oscar Maydon; Fuerza Regida","Tu Boda",226,"Pop"
18,"Chappell Roan","Good Luck Babe!",218,"Pop"
19,"Sia","Snowman",166,"Pop"
20,"Dean Martin","Let It Snow! Let It Snow! Let It Snow!",117,"Pop"
21,"Andy Williams","It's the Most Wonderful Time of the Year",152,"Pop"
22,"Rauw Alejandro; Bad Bunny","Qué Pasaría...",191,"Pop"
23,"Benson Boone","Beautiful Things",180,"Pop"
24,"Sabrina Carpenter","Taste",157,"Pop"
25,"Bon Jovi","Runaway",231,"Rock"
26,"Van Halen","Jump - 2015 Remaster",242,"Rock"
27,"Lynyrd Skynyrd","Free Bird",547,"Rock"
28,"R.E.M.","Losing My Religion",268,"Rock"
29,"Green Day","Basket Case",182,"Rock"
30,"Red Hot Chili Peppers","Under the Bridge",264,"Rock"
31,"Billy Idol","White Wedding - Pt. 1",252,"Rock"
32,"Guns N' Roses","Welcome To The Jungle",273,"Rock"
33,"AC/DC","You Shook Me All Night Long",210,"Rock"
34,"The Rolling Stones","(I Can't Get No) Satisfaction - Mono Version",223,"Rock"
35,"Led Zeppelin","Whole Lotta Love - 1990 Remaster",334,"Rock"
36,"Prince","Purple Rain",522,"Rock"
37,"Scorpions","Rock You Like a Hurricane (2015 - Remaster)",254,"Rock"
38,"ZZ Top","Sharp Dressed Man (2008 Remaster)",258,"Rock"
39,"Bruce Springsteen","Born in the U.S.A.",279,"Rock"
40,"Guns N' Roses","Don't Cry (Original)",284,"Rock"
41,"Jimi Hendrix","All Along the Watchtower",241,"Rock"
42,"Lenny Kravitz","Are You Gonna Go My Way",212,"Rock"
43,"Lynyrd Skynyrd","Sweet Home Alabama",284,"Rock"
44,"Rage Against The Machine","Killing In The Name",314,"Rock"
45,"KISS","Detroit Rock City",216,"Rock"
46,"Queen","Another One Bites The Dust - Remastered 2011",215,"Rock"
47,"AC/DC","Back In Black",255,"Rock"
48,"ROSÉ","toxic till the end",157,"K-Pop"
49,"ATEEZ","Ice On My Teeth",183,"K-Pop"
50,"BABYMONSTER","DRIP",181,"K-Pop"
51,"aespa","Whiplash",183,"K-Pop"
52,"G-DRAGON","POWER",143,"K-Pop"
53,"JENNIE","Mantra",137,"K-Pop"
54,"STAYC","Teddy Bear",190,"K-Pop"
55,"Red Velvet","Chill Kill",215,"K-Pop"
56,"ITZY","UNTOUCHABLE",194,"K-Pop"
57,"NMIXX","Love Me Like This",189,"K-Pop"
58,"ITZY","SNEAKERS",179,"K-Pop"
59,"NMIXX","DASH",167,"K-Pop"
60,"ITZY","CAKE",199,"K-Pop"
61,"aespa","Illusion",195,"K-Pop"
62,"EVERGLOW","SLAY",221,"K-Pop"
63,"Dreamcatcher","OOTD",177,"K-Pop"
64,"GOT the beat","Stamp On It",233,"K-Pop"
65,"Dreamcatcher","BONVOYAGE",214,"K-Pop"
66,"NMIXX","Young Dumb Stupid",191,"K-Pop"
67,"Slayer","Raining Blood",255,"Metal"
68,"Metallica","Master Of Puppets",515,"Metal"
69,"Megadeth","Symphony Of Destruction",247,"Metal"
70,"Pantera","Walk",315,"Metal"
71,"System Of A Down","Chop Suey!",210,"Metal"
72,"Disturbed","Down with the Sickness",279,"Metal"
73,"Motörhead","Ace of Spades",168,"Metal"
74,"Metallica","One",447,"Metal"
75,"Pantera","Cowboys from Hell",244,"Metal"
76,"Slipknot","Duality",253,"Metal"
77,"Judas Priest","Breaking the Law",154,"Metal"
78,"Metallica","Enter Sandman",331,"Metal"
79,"Avenged Sevenfold","Hail to the King",306,"Metal"
80,"Ozzy Osbourne","Crazy Train",293,"Metal"
81,"Rammstein","Du hast",236,"Metal"
82,"Korn","Freak On a Leash",256,"Metal"
